,date,title,body
0,"Jun 21, 2024",Are advanced economy central banks giving up on the U.S. dollar?,"(Kitco News) - There is growing frustration in the gold market as the precious metal continues to churn in a narrow range between $2,300 and $2,350. However, this consolidation is also removing froth from the market and helping us focus on the broader landscape.Since March, the gold market has been on an impressive run, rallying to a new all-time high above $2,450 an ounce. Although momentum has stalled, it is important to recognize that the factors behind the rally have not disappeared.The world remains rife with geopolitical uncertainty, especially ahead of the November U.S. elections. The U.S. dollar’s status as the world’s reserve currency continues to be challenged, and the global inflation threat persists.According to the World Gold Council’s annual Central Bank Gold Reserves survey, these are the top reasons why both retail investors and central banks are buying gold.This year, 70 central banks were surveyed, and 29% expect to increase their exposure to gold in the next 12 months. At the same time, 81% of central banks expect global central bank gold reserves to increase over the next year.This is the strongest response the WGC has received from its gold survey, which started in 2018. While these are impressive stats, what really jumped out at me was the long-term outlook central banks see for their gold reserves and the U.S. dollar, even among developed economies.According to the survey, 57% of advanced-economy central banks see gold’s share of global reserves rising in the next five years, up from 38% in 2023.Meanwhile, 23% of developing market central banks see the U.S. dollar’s role as the world’s reserve currency diminishing over the next five years, up from 13% reported last year.I would expect emerging markets to shift their focus away from the U.S. dollar as they diversify their reserve assets.Then again, this might not be such a big surprise if we look at the trajectory of U.S. government debt. This week, the Congressional Budget Office released new projections that show federal government debt to be $1.9 trillion, or 6.7% of GDP, for the 2024 fiscal year, $400 billion higher than its February estimate.According to Paul Ashworth, Chief North American Economist at Capital Economics, the increase is due to higher net interest outlays, with the primary deficit unchanged at 3.6% of GDP.U.S. debt is on an unsustainable path higher, and the threat is only exacerbated by the Federal Reserve’s aggressive monetary policy. In this environment, it’s no wonder everyone is turning to gold.That’s it for this week. Have a great weekend, and enjoy the start of summer!"
1,"Jun 21, 2024","Wall Street reaches perfect equilibrium of indecision on gold prices, Main Street maintains optimistic outlook","
(Kitco News) – The gold market saw one of its least dramatic weeks of the year this week, but as has been the case of late, it saved some drama for market participants for the end.
Spot gold kicked off the week trading at $2,332.64, and after sliding to a daily low of $2,311.50 around noon EDT on Monday, it did very little other than set the weekly low of $2,307.38 early Tuesday morning.
So steady and narrow was the sideways churn that by the middle of the day Wednesday, which also marked the Juneteenth holiday in the United States, gold had traded in only about a $20 range and found itself flat on the week.
U.S. traders brought renewed energy to the markets with their return on Thursday morning, driving spot gold from $2,332 in the early morning to the then-high of $2,364.09 by 10:45 am EDT. Gold then traded in its newly elevated range between $2,350 and the weekly high of $2,367.70 until Friday morning’s precipitous decline that saw spot gold slide from $2,363.71 at 9 am EDT all the way to $2,317.70 shortly after 1 pm, leaving traders and investors wondering whether the key psychological support level of $2,300 per ounce would hold into Friday's close.

The latest Kitco News Weekly Gold Survey shows industry experts indecisive about gold’s near-term path, while retail sentiment remains positive.
Marc Chandler, Managing Director at Bannockburn Global Forex, sees geopolitics pushing bullion prices higher next week. 
“US rates remain soft and although Mexico’s president-elect has made some market-friendly cabinet appointments, political tensions continue to run high in Europe (EU, France, and UK),” he said. “And we note elevated tension between China and the Philippines.”
Chandler said the slippage in U.S. rates “seems to run against the grain of the rally in crude oil, where the Aug WTI contract reached its highest level since the end of April.”
“The yellow metal is testing the $2368 area, and a push higher could see $2388-$2390,” he concluded.
“BULL,” wrote Mark Leibovit, publisher of the VR Metals/Resource Letter.
“Down,” countered Adrian Day, President of Adrian Day Asset Management. “Gold is in a short-term trading range right now and, after last week’s rally, could pull back next week. The market is in a holding pattern, looking for news on the resumption of Chinese official gold buying as well as clarity on US inflation and employment, which will provide insight into the timing of any rate cut.”
Darin Newsom, Senior Market Analyst at Barchart.com, sees gold prices trending higher next week.
“August gold’s short-term uptrend has turned up on the contract’s daily chart, with August posting a new 4-day high of $2,5379.50 Thursday,” Newsom wrote. “While the early part of next week could see renewed light selling interest, by the time we get to next Friday, the contract should be higher again.”
Newsom said he’s looking for a higher weekly close this week and next, which would constitute a string of three straight weeks against the intermediate-term downtrend on the August contract’s weekly chart. “At that point, based on the Benjamin Franklin Fish Analogy (Like guests and fish, markets start to stink after three days/week/months of moving against the trend), I’m looking for the futures contract to turn down again,” he said.
“The short-term upside target area is between $2,370 and $2,390, with an outside shot at $2,410.”
Analysts at CPM Group are also projecting higher gold prices over the next week or two.
“A wide range of political, economic, and financial market issues are likely to push gold higher, toward $2,400 if not $2,450 during this time,” they said. “A stronger dollar is not likely to be a negative for gold: The dollar and gold are both expected to find strong investor demand as the safer currencies to be in. Silver prices are expected to exhibit strength next week ahead of the July Comex futures delivery period starting on 28 May, which may help pull gold prices higher.”
“The increase may be short-lived, however, and dissipate beyond the first week of July,” the analysts warned.
This week, 14 Wall Street analysts participated in the Kitco News Gold Survey, and their responses produced a perfect equilibrium of indecision about the near-term prospects for precious metals. Five experts, representing 62%, expect to see gold prices climb higher next week, while an equal number of analysts predict a price decline. The remaining four, or 28% of the total, expect gold to trade sideways during the coming week.
Meanwhile, 209 votes were cast in Kitco’s online poll, with Main Street investors maintaining their positive outlook on the yellow metal. 114 retail traders, or 55%, look for gold prices to rise next week. Another 38, or 18%, expected the yellow metal to trade lower, while 57 respondents, representing the remaining 27%, saw prices chopping sideways during the week ahead.

The highlight of next week's economic news calendar is the release of the core PCE price index report for May, as markets will be very interested to see if the Federal Reserve's preferred measure of inflation shows further improvement, increasing the likelihood of interest rate cuts in 2024.
Markets will also receive U.S. consumer confidence for June, the S&P Case Shiller home price index for April on Tuesday, and MBA mortgage applications, new home sales, and the results of the Federal Reserve’s bank stress tests on Wednesday. Thursday will bring the May durable goods report and final Q1 GDP, along with initial jobless claims and pending home sales for May, and the week wraps up with the final University of Michigan consumer sentiment for June on Friday.
There will also be a battery of central bank speakers for markets to tune in to, including the Fed's Waller and Daly on Monday, speeches from Cook and Bowman on Tuesday, and Barkin and Bowman again on Friday.
Daniel Pavilonis, Senior Commodities Broker at RJO Futures, said gold appears to be in its summer doldrums, but there’s a lot more happening under the surface.
“If you look at the retracement of the dollar, the dollar is still moving higher, we're inching our way up there, and we're also looking at energy prices move higher,” he said. “This could cause a rebound in rates, which may put some pressure on gold.”
“But ultimately, we're going to see some major headwinds here coming into the elections, and possibly some flaring up of rates in Europe with the situation in France, and French yields moving higher because of the elections.”
“At the base of it, everywhere you look, in terms of de-dollarization, rates, debt, political instability, I still think this is very, very beneficial for gold,” he said. “But it may take a little bit of a pause here.”
Regarding gold’s slide on Friday, Pavilonis said he thinks it was likely driven by hawkish Fed commentary.
“I think some of it was the Fed talk yesterday, with Brainard, on the possibility of not cutting rates,” he said. “Then, coming into this morning, we had some European data that was maybe weighing on the markets, but then we had the global composite PMI and manufacturing PMI, and I think that ticked a little bit higher.”
Pavilonis said the data is inconclusive right now, and it’s creating a weird situation for market participants. “Are we walking into a recession because rates are too tight, or are they not tight enough?” he asked rhetorically. “Some of the data is just all over the place, and I think it's causing a little bit of uncertainty in the market.”
While Pavilonis sees a lot of global instability pushing gold prices higher in the coming months, as far as next week is concerned, he still thinks the yellow metal could fall further. 
“I still think there may be some downside,” he said. “We have that double top up there around $2,440. We come back and we try to make a new high, and we actually make a new low, and then we start grinding higher from the beginning of June, all the way to where we've been over the last couple of days… but the candlesticks on the daily [chart] on futures don't look that great.”
“I think the path of least resistance is to the downside,” he concluded. “Maybe we start getting back down to $2,250, somewhere around there.”
Michael Moor, founder of Moor Analytics, wrote that based on where gold is trading on Friday, the charts are indicating further downside.
“The trade above 23386 (-1.2 tics per/hour) should bring in decent strength,” he said. “Decent trade back below 23520 (-2 tics per/hour starting at 6:00am) should bring in decent pressure. Decent trade below 23249 (+1 tic per/hour) will project this downward $35 minimum.”
And Kitco Senior Analyst Jim Wyckoff said traders appear to be positioning themselves long for next week.
“The near-term technical postures have turned more bullish for gold and silver this week, which is inviting the chart-based speculators to the long sides of the markets,” he said. “Technically, August gold bulls have the overall near-term technical advantage. Bulls’ next upside price objective is to produce a close above solid resistance at the June high of $2,406.70. Bears' next near-term downside price objective is pushing futures prices below solid technical support at the June low of $2,304.20.”
“First resistance is seen at $2,390.00 and then at $2,400.00,” Wyckoff said. “First support is seen at the overnight low of $2,368.60 and then at $2,300.00.”
Spot gold last traded at $2322.89 at the time of writing for a loss of 1.59% on the day and 0.41% on the week.
"
2,"Jun 21, 2024","NY Fed warns of risk to major U.S. banks, 'something amiss in the banking system,' says Soloway","(Kitco News) - There is something ""amiss"" in the U.S. banking sector, says Gareth Soloway, Chief Market Strategist at VerifiedInvesting.com, warning that big institutional players are ""unloading"" the stocks of big banks.
""I'm hearing a lot of chatter about the big banks unloading bad debt right now, trying to get ahead of some sort of crisis looming,"" Soloway tells Michelle Makori, Lead Anchor and Editor-in-Chief at Kitco News. ""Because interest rates are so high, the amount of losses in mortgage-backed securities potentially rival what we saw in 2008 and 2009. In addition, the commercial real estate market is in tatters. And these are all things that banks are holding on their balance sheets.""
       
 
Soloway points to the SPDR S&P Regional Banking ETF (KRE), noting the formation of a bear flag pattern since the banking crisis lows of April last year. Watch the video above for Soloway's breakdown.
There has also been a technical breakdown in the stocks of some of the bigger banks, including JPMorgan, according to Soloway.
""This trend line breakdown just started on JPMorgan, Citigroup has already broken down,"" Soloway added. ""There are signs that something is amiss within the banking system, whether it's the bear flag in the KRE or in these bigger banks. There are some bigger players that are unloading the big banks here.""
Federal Reserve Chair Jerome Powell commented on the banking sector at the June press conference following the central bank's two-day monetary policy meeting.
""The banking system has been solid, strong, well-capitalized lending. We've seen good performance by the banks. We had turmoil early last year, but banks have been focusing on bringing up their liquidity, bringing up their capital, and having risk management plans in place. So, the banking system seems to be in good shape,"" Powell said.
Soloway reacted to Powell's comment by pointing out that the Fed Chair would never come out and say there is a big issue in the banking system. ""Think about the fire that would spread in the market crash that would ensue if he said that,"" Soloway noted.
Soloway's warning comes as the New York Fed's Liberty Street Economics blog cautioned of U.S. big banks facing growing spillover risks from non-banks.
During periods of increased market volatility, liquidity demand accelerates, putting pressure on banks as non-banks look for loans and lines of credit. This could trigger ""vectors of shock transmission and amplification, forcing authorities to intervene and do so en masse,"" the post said, adding that the disruptions ""could be rather severe.""
At the same time, the Federal Reserve pointed to weaknesses in four of the biggest banks on Wall Street regarding how they would handle their own failures.
According to a joint statement released Friday by the U.S. central bank and the Federal Deposit Insurance Corporation, the regulators spotted shortcomings in the so-called ""living wills"" of JPMorgan, Bank of America, Goldman Sachs Group, and Citigroup.
""For the four banks with an identified shortcoming, the letters describe the specific weaknesses resulting in the shortcoming and the remedial actions required by the agencies,"" the agencies said.
Soloway also revealed the black swan event investors need to pay close attention to in the year's second half. Watch the video above for insights.
In addition, Soloway shared his technical analysis of gold, silver, and Bitcoin. Watch the video above for his short-term and long-term price forecasts.
This content is brought to you by Swan Bitcoin. Swan Bitcoin IRA - Start Saving Now 👉 https://Swan.com/retire "
3,"Jun 21, 2024",Expect a volatile gold price as the summer trading season kicks off,"(Kitco News) - Commodity analysts remain extremely bullish on gold over the long term; however, as the summer trading season kicks off, investors should not expect to see a breakout rally anytime soon.
Despite the positive sentiment, gold remains caught in a relatively narrow trading range. It has been unable to hold sustainable gains above $2,350 an ounce. On the downside, the precious metal has managed to hold support at around $2,300 an ounce.
Despite a solid start to the week, gold is heading into the weekend with a loss. August gold futures last traded at $2,331.80 an ounce, down 0.7% from last Friday.
Chantelle Schieven, Head of Research at Capitalight Research, said investors should brace for higher volatility in the gold market. She explained that traditionally, summer markets see lower liquidity, which can generate higher volatility. At the same time, market uncertainty remains extremely elevated as markets try to guess the Federal Reserve’s next move.
“Gold is kind of stuck here, and it's reacting to everything because we just don’t know what the Federal Reserve is going to do,” she said. “Every piece of data that comes outside of expectations has been enough to shift interest rate expectations back and forth, driving gold up and down.”
Although gold is treading water, Schieven said that it is important to pay attention to the broader landscape. She said gold has established a solid floor around $2,280 an ounce. She added that she is looking for the Federal Reserve to cut interest rates in September to support the economy, even as inflation pressures remain elevated.
“The big takeaway I have gotten from the Federal Reserve’s latest comments is that they are not as worried about inflation and are now shifting their focus to the labor market,” she said. “Underlying activity in the labor market is weak, and that will prompt the Federal Reserve to cut rates after the summer.”
Naeem Aslam, Chief Investment Officer at Zaye Capital Markets, said he expects gold to remain well-supported in the near term as traders use the precious metal to hedge their positions ahead of their summer vacations.
However, Aslam added that he doesn’t see any breakout on the horizon.
“We continue to maintain our stance that the path of the least resistance would continue to remain for consolidation unless we experience more noise from the FOMC members,” he said.
Although gold has been unable to hold gains above $2,350 for the last five weeks, David Morrison, Senior Market Analyst at Trade Nation, said he remains constructive on gold.
He noted that the market’s consolidation has taken a lot of the froth out of the market.
“The recent moves in gold look quite constructive despite today’s sell-off. The metal has been grinding higher ever since the sell-off two weeks ago following the strong payroll report. Support around $2,300 is holding, and the daily MACD has leveled out just below neutral levels and looks to be turning higher,” Morrison said in a comment to Kitco. “The large swings that we’re now seeing in both gold and silver are exactly the kind of gyrations to expect ahead of a big move. These will be exacerbated as we get further into the summer, as trading volumes get thinner.""
However, not all analysts are optimistic that gold can maintain these elevated levels.  Barbara Lambrecht, Commodity Analyst at Commerzbank, said the Federal Reserve’s reluctance to signal the start of a new easing cycle.
“As the first interest rate cut in the US will probably not take place until the end of the year, further upside potential is likely to be limited,” said Lambrecht in a note Friday. “What's more, gold ETFs have recently recorded renewed outflows. It is, therefore also worth taking a look at the market positioning of speculative financial investors after their net long positions rose to their highest level since spring 2020 in the last reporting week. The high optimism of these investors could lead to a setback in the gold price.”
Although the economic calendar is a little light next week, there will be enough reports to create some volatility in gold. The focus next week will be on Friday, the Personal Consumption Expenditures (PCE) Index, the Federal Reserve’s preferred inflation gauge.
Some analysts have said that weak inflation data could solidify a September rate cut, which would support gold prices.
Economic data to watch next week:
Tuesday: U.S. Consumer ConfidenceWednesday: U.S. New Home salesThursday: Final Q1 GPD, weekly jobless claims, Core Durable Goods, U.S. Pending Home sales.Friday: PCE Price Index, personal income and spending"
4,"Jun 21, 2024",Gold drops to session lows as combined flash PMI data hits 26-month high,"(Kitco News) -The gold market is holding support above $2,350 an ounce but is seeing some renewed selling pressure as both the U.S. manufacturing and service sectors see healthy activity in June.
Friday, S&P Global said its preliminary Purchasing Managers Index for the manufacturing sector rose to 51.7, from May’s reading of 51.3.  Activity in the manufacturing sector was better than expected, as economists forecasted a relatively neutral reading at 51.0.
The report said that activity in the manufacturing sector has risen to a three-month high.
However,  the report noted an even more significant recovery within the service sector. The services PMI increased to 55.1, up from May’s reading of 54.8. According to consensus forecasts, economists projected a modest drop to 53.4.
The report said that activity in the service sector has risen to a 26-month high.
“US business activity growth accelerated to its fastest for 26 months in June, according to provisional PMI survey data from S&P Global, signaling a strong end to the second quarter. The service sector led the upturn with additional support from manufacturing, albeit with the latter’s recent revival losing some momentum,” the report said.
The gold market has dropped its session lows but still holds support above a critical physiological level. August gold futures last traded at $2,350.10 an ounce, down 0.79% on the day.
Chris Williamson, Chief Business Economist at S&P Global Market Intelligence, said the data suggests that the U.S. economy is expanding by 2.5%.
“The upturn is broad-based, as rising demand continues to filter through the economy. Although led by the service sector, reflecting strong domestic spending, the expansion is being supported by an ongoing recovery in manufacturing, which so far this year is enjoying its best growth spell for two years,” he said.
In further good news for consumers, Williamson noted that the improved activity is not causing inflation to heat up.
“Selling price inflation has meanwhile cooled again after ticking higher in May, down to one of the lowest levels seen over the past four years. Historical comparisons indicate that the latest decline brings the survey’s price gauge into line with the Fed’s 2% inflation target,” he said."
5,"Jun 21, 2024",Gold market analysis for June 21 - key intra-day price entry levels for active traders,"(Kitco News) - This 5-minute bar chart for Comex gold futures can be a valuable analytical and trading tool for the active intra-day gold futures trader/market watcher. Based on key short-term technical support and resistance levels, I show potential buy and sell price entry points. (Remember, most successful traders buy on early price strength and sell on early price weakness.) If you are an active intra-day trader of gold, you definitely want to check out this unique and exclusive daily trading/analytical tool found only at Kitco. 
"
6,"Jun 21, 2024","Gold price up, at 2-week high, on friendlier charts, rate-cut notions   ","(Kitco News) - Gold prices are moderately up and hit a two-week high in early U.S. trading Friday. Silver prices are lower after notching a two-week peak overnight. The near-term technical postures have turned more bullish for gold and silver this week, which is inviting the chart-based speculators to the long sides of the markets. The weaker U.S. retail sales report earlier this week and some downbeat economic data out of the Eurozone today have more in the marketplace thinking the Federal Reserve and other major central banks will be able to ease their monetary policies in the next few months, or even sooner. August gold was last up $11.10 at $2,380.00. July silver was last down $0.246 at $30.575.
Asian and European stock indexes were mostly weaker overnight. U.S. stock indexes are pointed toward weaker openings when the New York day session begins. Angus Campbell of TradeNation reported in an email dispatch this morning that Thursday’s NVIDIA-led sell-off in the U.S. stock indexes spilled over into selling in Asia and Europe. European stock indexes also sold off following end-of-week disappointing flash manufacturing and services purchasing managers indexes (PMI) from across the Eurozone. “There wasn’t a single reading that managed to beat expectations or that came in above last month’s numbers,” said Campbell.
The key outside markets today see the U.S. dollar index firmer. Nymex crude oil prices are near steady and trading around $81.25 a barrel after hitting a seven-week high Thursday. The benchmark 10-year U.S. Treasury note yield is presently 4.24%.
U.S. economic data due for release Friday includes the U.S. flash and services purchasing managers indexes (PMI), existing home sales and leading economic indicators.

Technically, August gold bulls have the overall near-term technical advantage. Bulls’ next upside price objective is to produce a close above solid resistance at the June high of $2,406.70. Bears' next near-term downside price objective is pushing futures prices below solid technical support at the June low of $2,304.20. First resistance is seen at $2,390.00 and then at $2,400.00. First support is seen at the overnight low of $2,368.60 and then at $2,300.00. Wyckoff's Market Rating: 6.0.

July silver futures bulls have the firm overall near-term technical advantage. Silver bulls' next upside price objective is closing prices above solid technical resistance at $31.67. The next downside price objective for the bears is closing prices below solid support at the June low of $28.73. First resistance is seen at today’s high of $30.905 and then at $31.00. Next support is seen at the overnight low of $30.28 and then at $30.00. Wyckoff's Market Rating: 7.0.
(Hey! My “Markets Front Burner” weekly email report is my best writing and analysis, I think, because I get to look ahead at the marketplace and do some market price forecasting. Plus, I’ll throw in an educational feature to move you up the ladder of trading/investing success. And it’s free! Email me at jim@jimwyckoff.com and I’ll add your email address to my Front Burner list.)"
7,"Jun 20, 2024",Monetary Metals offers a silver bond for the first time in over 150 years,"(Kitco News) - Although gold's allure as a global commodity is growing as central banks buy the precious metal at an unprecedented pace, it is not the only monetary metal on the market.
Central banks stopped accumulating silver in the mid-1850s, and the world moved off the silver standard by the early 1870s; however, many still see the grey metal as an important financial tool for wealth protection.
One company is looking to bring back silver's luster as a full-fledged monetary metal, as Monetary Metals has launched a new silver bond. In an exclusive interview with Kitco News, Monetary Metals CEO Keith Weiner said that he suspects this is the first silver-based financial loan created in more than 150 years.
The silver loan will support Bunker Hill Mining Corp. as it raises capital to restart and further develop its operations at its Bunker Hill Mine in Idaho. Over its nearly 100 years of operation, the mine produced 165 million ounces of silver.
This loan is unique because it will be paid entirely in physical silver. Under the terms of the agreement, accredited investors will earn a 12% annual yield on the bond over three years. 
Weiner explained that under the agreement, investors could loan out 1,000 ounces of silver and, in three years, would get back 1,360 ounces. 
""It's pretty exciting to offer a silver bond for the first time in 150 years,"" said Weiner. ""We are showing the world that silver is still an important monetary metal. It's not about a new gold standard or silver standard; it's about creating a gold and silver standard. This is the grand experiment we are demonstrating.""
Weiner added that silver is an attractive monetary asset because it is readily available with an ample supply of above-ground stocks; at the same time, its low price tag compared to gold means it is accessible to a broader range of investors.
""If you look at the two metals, gold and silver, each one is oriented differently,"" he said. ""Silver is much better for small savers.""
The launch of Monetary Metals' new silver bond comes as the gray metal's price has seen a significant run, pushing to a 12-year high above $32 an ounce last month.
Although silver has since dropped into a consolidation pattern, it has managed to hold critical support above its 50-day moving average of around $29 an ounce. Weiner doesn't concern himself too much with the dollar price in silver, saying that the market would have to drop significantly lower to outweigh the returns on a 12% annual yield.
""I think we are starting to see silver attract more investors, and it is likely to outperform gold in this new bull market,"" Weiner said. 
The Monetary Metals silver bond is set to be launched on Friday, June 28."
8,"Jun 20, 2024","Gold, silver rally on bargain hunting, technical buying","(Kitco News) - Gold prices are firmly up and silver sharply higher in midday U.S. trading Thursday. Both metals touched nearly two-week highs. Perceived bargain hunting and technical buying are featured as gold and silver chart postures have turned more bullish late this week. The precious metals bulls are also more confident following the weaker U.S. retail sales report earlier this week. A Barron’s headline today reads: “The Fed needs to cut rates eventually amid this economic slowdown.” August gold was last up $21.60 at $2,368.70. July silver was last up $1.151 at $30.72.
Switzerland’s central bank Thursday unexpectedly cut its main interest rates for a second consecutive time to 1.25%. This news also benefited the metals market bulls, on ideas of easing monetary policies from the world’s major central banks.
In other overnight news, China bank officials kept one- and five-year prime loan rates unchanged at 3.45% and 3.95%, respectively. This follows the central bank decision to leave its benchmark one-year medium term lending rate at 2.50% earlier this month.Meantime, the Bank of England today kept its rates steady at 5.25%.
The key outside markets today see the U.S. dollar index higher. Nymex crude oil prices are firmer and hit a seven-week high today, trading around $82.00 a barrel. The benchmark 10-year U.S. Treasury note yield is presently around 4.28%.

Technically, August gold bulls have the overall near-term technical advantage. Bulls’ next upside price objective is to produce a close above solid resistance at the June high of $2,406.70. Bears' next near-term downside price objective is pushing futures prices below solid technical support at the June low of $2,304.20. First resistance is seen at today’s high of $2,379.50 and then at $2,400.00. First support is seen at $2,350.00 and then at today’s low of $2,338.50. Wyckoff's Market Rating: 6.0.

July silver futures bulls have firm the overall near-term technical advantage. Silver bulls' next upside price objective is closing prices above solid technical resistance at $32.00. The next downside price objective for the bears is closing prices below solid support at the June low of $28.73. First resistance is seen at $31.00 and then at $31.67. Next support is seen at $30.00 and then at today’s low of $29.41. Wyckoff's Market Rating: 7.0.
(Hey! My “Markets Front Burner” weekly email report is my best writing and analysis, I think, because I get to look ahead at the marketplace and do some market price forecasting. Plus, I’ll throw in an educational feature to move you up the ladder of trading/investing success. And it’s free! Email me at jim@jimwyckoff.com and I’ll add your email address to my Front Burner list.)"
9,"Jun 20, 2024","Gold price testing resistance at $2,350 but largely ignores 5.5% drop in U.S. housing starts","(Kitco News) - The U.S. housing sector continues to struggle as the construction of new homes falls to its lowest level in nine months.
The gold market is not seeing much reaction to the disappointing data, as the price manages to push above initial resistance at $2,350 an ounce.
Housing starts dropped 5.5% in May to a seasonally adjusted annual rate of 1.277 million units, the Commerce Department said on Thursday. The data came in lower than expected, as economists looked for a rate of 1.37 million units.
Meanwhile, the report said that housing construction compared to last year is down nearly 20%.
The gold market continues to consolidate as it pays little attention to economic data. August gold futures last traded at $2,350.50 an ounce, up 0.15% on the day.
At the same time, a further decline in building permits issued last month does not bode well for a sustained recovery in the housing market anytime soon. The report said that building permits for future homebuilding declined 3.8% to a rate of 1.386 million last month, compared to April’s revised estimate of 1.444 million permits.  
The issuance of building permits is down 9.5% for the year.
Although the latest housing data continues to disappoint, it has not surprised many economists as the sector faces some significant headwinds.
The Federal Reserve’s aggressive monetary policy stance has kept mortgage rates elevated. At the same time, a lack of supply has pushed home prices higher, pricing many potential home buyers out of the marketplace.
Relief for the housing market could come after the summer as markets expect the U.S. central bank to cut rates in September."
